0.6319653895629479, 0.6306571921353479
0.6280715193253827, 0.6266212744491861, 0.6266212668225907
0.5412617277804164, 0.6012376625380391, 0.5999354779672231
0.6246809408761405, 0.7010695596444613, 0.7031768581017979, 0.7021173312157272, 0.7504082420773824, 0.776751596753992, 0.7949437013650211, 0.8302065546612521, 0.8327626420504647, 0.8361954918684777, 0.8315072569081109, 0.8401675884324279, 0.8437603815312773, 0.846148853865967, 0.846979040962503, 0.875858657717436, 0.8615778162554751, 0.8614881048659945, 0.8576615030729445, 0.8663806512387631, 0.8683703801728851, 0.8683703864256906, 0.8694511554975467, 0.8734312569825278, 0.874086492644465, 0.8717351321920128, 0.887757408430092, 0.8855371983527727, 0.8970357272350208, 0.9003100238093754, 0.9033041453142627, 0.9024265424900728, 0.896083908181286, 0.9430156946283202, 0.9466640576540437, 0.9478426228897993, 0.9478426170524354, 0.947853267093177, 0.9478532671187377, 0.9478837712074274, 0.9583548406462257, 0.9571819071676365, 0.9574719742919059
0.6280715193253827, 0.6280710578717675
0.6076650189813675, 0.6198065735871272, 0.6458417689612522, 0.6678484120023803, 0.6736080234906006, 0.6775483156945317, 0.6707180091013123
0.6319653895629479, 0.631964941414825, 0.6319649414133842
0.6246809408761405, 0.6235009727294478
0.6319653895629479, 0.6475476977558133
0.6319653895629479, 0.6306571921353479, 0.6305226065608076, 0.6407764203637165, 0.644986544138415, 0.6691920424381094, 0.6669532134330383, 0.6669315067917041, 0.6719103096500115, 0.6717007507728415, 0.6709441187813115, 0.6708883250308214, 0.6710627710906426, 0.6759516241749711, 0.6759993504174256, 0.6740509906021283, 0.6793899704251817, 0.6800348759177117, 0.681337894855519, 0.6803750084816154, 0.6816914173360877, 0.6815452815235642, 0.6912993922665694, 0.6904113694007921, 0.7019549893531807, 0.6992244032702688
0.6253840367655915, 0.6383334262601331, 0.6654576291509798, 0.6667004271380842, 0.6590703106938851, 0.6937760139415662, 0.6962876741397069, 0.6981804684217021, 0.7075102408813105, 0.7133855334722266, 0.7152014456577658, 0.7157939911965308, 0.7160145302288841, 0.718652031803435, 0.7227955500820313, 0.728070186906758, 0.769563324452552, 0.750417554108441, 0.7707982658567377, 0.740170951579068, 0.7396614591245011
0.6280715193253827, 0.6280710578717675, 0.6266209268654324, 0.6266209192396436, 0.6324579885754842, 0.6324580058867576, 0.6304279027324631, 0.6304278942469604, 0.6354719837206764, 0.6354719988808858, 0.6354719988809339, 0.6354719988809339
0.6319653895629479
0.6280715193253827, 0.6266212744491861, 0.6266212668225907, 0.6266212668225667, 0.6266212668225667, 0.6266212668225667, 0.6266212668225667, 0.6266212668225667
0.6280715193253827
0.6002446462550466, 0.6501409656258703, 0.6567932922975397, 0.6581355866765377, 0.7018348747502474
0.6319653895629479, 0.6475476977558133, 0.650473994322812, 0.6504740010570323, 0.6506385643526231, 0.6536321000431874, 0.6536321054963445, 0.6563333683510789, 0.6563595363633303
